No;type;QP;size
0;I;2.00;57370;
1;P;5.00;38046;
2;P;5.00;37058;
3;P;5.00;32373;
4;P;5.00;32853;
5;P;5.00;31219;
6;P;5.00;30848;
7;P;5.00;32318;
8;P;5.00;32905;
9;P;5.00;31465;
10;P;5.00;30886;
11;P;5.00;30631;
12;P;5.00;30595;
13;P;5.00;31701;
14;P;5.00;33375;
15;P;5.00;31829;
16;P;5.00;31078;
17;P;5.00;31900;
18;P;5.00;31715;
19;P;5.00;30715;
20;P;5.00;31378;
21;P;5.00;31076;
22;P;5.00;31318;
23;P;5.00;30753;
24;P;5.00;30678;
25;P;5.00;30613;
26;P;5.00;31083;
27;P;5.00;30780;
28;P;5.00;30936;
29;P;5.00;31246;
30;P;5.00;30827;
31;P;5.00;31146;
32;P;5.00;30816;
33;P;5.00;31287;
34;P;5.00;30604;
35;P;5.00;30572;
36;P;5.00;30705;
37;P;5.00;30533;
38;P;5.00;30728;
39;P;5.00;30923;
40;P;5.00;30095;
41;P;5.00;30346;
42;P;5.00;30876;
43;P;5.00;30442;
44;P;5.00;30354;
45;P;5.00;30941;
46;P;5.00;30413;
47;P;5.00;30745;
48;P;5.00;31489;
49;P;5.00;32067;
50;P;5.00;32409;
51;P;5.00;31966;
52;P;5.00;31362;
53;P;5.00;31756;
54;P;5.00;31448;
55;P;5.00;31844;
56;P;5.00;31046;
57;P;5.00;31592;
58;P;5.00;32455;
59;P;5.00;31567;
60;P;5.00;32878;
61;P;5.00;33662;
62;P;5.00;32633;
63;P;5.00;32674;
64;P;5.00;34227;
65;P;5.00;33254;
66;P;5.00;33111;
67;P;5.00;33593;
68;P;5.00;34026;
69;P;5.00;33690;
70;P;5.00;32805;
71;P;5.00;33584;
72;P;5.00;33469;
73;P;5.00;34546;
74;P;5.00;34284;
75;P;5.00;35183;
76;P;5.00;34520;
77;P;5.00;34504;
78;P;5.00;33559;
79;P;5.00;34250;
80;P;5.00;34040;
81;P;5.00;33455;
82;P;5.00;33585;
83;P;5.00;34164;
84;P;5.00;33396;
85;P;5.00;33391;
86;P;5.00;33461;
87;P;5.00;34008;
88;P;5.00;33729;
89;P;5.00;33000;
90;P;5.00;32567;
91;P;5.00;32759;
92;P;5.00;33158;
93;P;5.00;34076;
94;P;5.00;33252;
95;P;5.00;34046;
96;P;5.00;33003;
97;P;5.00;34218;
98;P;5.00;35259;
99;P;5.00;34937;
100;P;5.00;35322;
101;P;5.00;35522;
102;P;5.00;34095;
103;P;5.00;34150;
104;P;5.00;35365;
105;P;5.00;33918;
106;P;5.00;35616;
107;P;5.00;35091;
108;P;5.00;35042;
109;P;5.00;35917;
110;P;5.00;34670;
111;P;5.00;34615;
112;P;5.00;35051;
113;P;5.00;34106;
114;P;5.00;34601;
115;P;5.00;35060;
116;P;5.00;34750;
117;P;5.00;33938;
118;P;5.00;33362;
